"","q7a","q7b","q7c","q7d","q7e","q7f","q7g","q7h","q7i","q7j","q7k"
"101101",2,1,1,1,1,3,2,2,2,4,3
"101102",2,1,2,2,1,3,3,1,3,4,4
"101103",2,2,2,2,2,2,2,2,2,3,3
"101104",2,2,1,1,1,3,3,2,2,2,2
"101105",2,3,1,1,1,3,4,1,1,3,1
"101106",1,1,3,2,1,2,3,2,2,4,1
"101107",2,2,2,2,2,2,4,2,2,2,3
"101108",4,2,2,2,1,1,1,4,1,1,1
"101109",4,4,1,1,1,1,4,4,1,4,1
"101110",2,3,3,3,1,1,3,1,1,1,1
"101201",3,2,2,2,1,2,2,2,1,3,2
"101202",2,1,3,2,2,3,1,1,2,4,2
"101203",3,2,2,3,2,2,1,1,1,4,4
"101204",4,2,2,2,3,2,2,1,1,1,2
"101205",3,2,2,2,1,3,3,2,4,4,4
"101206",1,1,3,3,3,2,2,1,4,4,4
"101207",2,2,2,2,2,2,2,2,2,2,2
"101208",2,2,2,2,3,3,2,2,2,4,4
"101209",2,2,2,1,1,1,1,1,1,1,1
"101210",1,1,3,2,2,1,2,1,1,3,3
"101211",2,3,2,3,2,2,2,3,2,4,3
"101301",3,1,2,2,2,3,3,1,2,3,2
"101302",2,2,3,2,2,4,2,2,1,4,2
"101303",2,2,1,1,1,2,2,1,1,3,2
"101304",2,1,2,2,1,3,1,1,2,3,3
"101305",2,1,2,2,1,2,1,1,2,4,4
"101306",3,2,1,1,1,2,2,2,1,2,2
"101307",2,2,3,1,1,1,2,2,2,3,1
"101308",1,1,1,1,2,2,3,1,1,3,1
"101309",2,2,1,1,1,2,3,2,2,4,2
"101310",2,2,2,3,2,2,3,2,3,4,4
"101401",1,2,2,2,2,2,2,2,2,3,3
"101402",1,1,2,2,1,2,3,2,2,3,1
"101403",1,1,2,1,1,2,1,1,1,3,2
"101404",2,2,3,3,2,4,4,1,1,4,4
"101405",2,2,2,2,2,3,2,1,1,3,3
"101406",2,2,1,1,2,2,2,3,1,1,3
"101407",2,3,1,1,1,1,3,2,1,1,1
"101408",3,2,2,2,2,2,2,2,2,3,4
"101409",2,1,1,1,2,1,1,1,1,4,4
"101410",3,3,2,2,2,2,2,2,1,3,2
"102101",1,1,3,2,1,1,2,2,2,3,3
"102102",2,2,2,1,1,2,3,1,1,4,3
"102103",2,2,2,2,2,3,2,2,2,4,2
"102104",1,2,1,1,1,2,1,1,1,3,2
"102105",2,2,3,3,1,3,1,1,1,3,2
"102106",2,2,2,2,1,2,3,3,1,2,3
"102107",2,2,2,2,1,2,2,1,2,3,3
"102108",1,1,3,3,3,2,1,1,2,3,4
"102109",2,1,2,2,1,2,1,1,2,2,3
"102110",1,1,2,1,2,2,1,1,3,3,2
"102111",2,2,1,1,1,2,1,1,2,3,4
"102201",1,1,1,1,1,1,1,1,3,4,3
"102202",2,1,1,1,1,3,3,2,2,3,2
"102203",2,2,3,2,2,3,2,1,3,4,4
"102204",3,2,4,3,2,4,3,1,1,4,4
"102205",2,2,2,1,1,2,2,1,1,3,3
"102206",1,1,1,1,1,2,1,2,3,4,4
"102207",1,1,1,2,1,3,2,1,2,3,4
"102208",3,1,2,2,1,3,1,1,3,4,4
"102209",2,2,2,2,3,3,2,1,1,4,4
"102210",2,2,1,1,2,3,2,2,1,2,2
"102301",2,2,3,3,3,3,1,1,1,4,2
"102302",3,2,2,2,2,2,1,1,1,3,2
"102303",2,2,2,2,2,3,1,1,1,4,1
"102304",1,2,1,1,1,1,3,1,3,4,3
"102305",2,2,2,2,2,2,2,1,2,3,3
"102306",2,2,2,2,2,3,1,1,2,4,4
"102307",2,2,2,2,2,2,1,2,2,2,2
"102308",2,2,1,1,2,2,3,2,2,3,3
"102309",1,1,1,2,3,3,1,1,3,4,2
"102310",2,2,2,2,1,2,2,1,1,2,2
"102401",2,2,3,3,2,2,1,1,2,3,4
"102402",2,1,3,3,2,3,1,1,1,4,4
"102403",2,1,1,3,1,3,1,1,2,3,3
"102404",1,1,1,3,3,4,4,3,1,4,1
"102405",2,1,3,4,1,3,1,1,1,4,4
"102406",3,3,2,2,1,2,3,1,1,4,2
"102407",2,2,1,1,1,2,3,2,1,3,3
"102408",1,1,4,3,2,4,2,1,2,4,4
"102409",2,2,1,1,1,2,4,2,1,4,4
"102410",1,3,3,2,3,2,3,1,1,3,3
"202101",3,2,2,2,1,3,2,2,1,4,4
"202102",2,1,2,2,1,3,1,1,2,4,4
"202103",2,1,1,2,1,2,2,1,3,3,1
"202104",2,1,2,2,3,2,1,1,3,4,4
"202105",1,1,1,1,1,2,2,3,1,1,3
"202106",1,3,3,3,3,3,2,2,3,3,4
"302301",2,1,1,1,1,2,4,1,1,3,1
"302302",1,1,2,2,2,3,2,1,3,3,2
"302303",2,1,3,2,2,3,2,1,1,4,4
"302304",1,2,3,3,2,3,2,2,3,4,4
"302305",2,2,1,1,2,3,1,2,2,3,1
"302306",1,3,3,2,1,2,3,3,1,4,1
"103101",2,2,2,2,2,4,1,1,3,4,4
"103102",1,1,2,2,1,1,1,1,3,3,2
"103103",3,2,3,3,2,3,1,1,3,4,4
"103104",1,1,1,1,1,1,3,1,1,3,1
"103105",2,2,3,3,4,3,1,2,3,4,4
"103106",2,2,3,3,3,3,2,1,2,4,4
"103107",1,1,1,1,1,1,3,1,1,3,3
"103108",2,2,2,2,2,2,2,2,2,2,2
"103109",2,1,2,2,2,4,1,1,3,4,4
"103110",1,1,3,3,1,4,1,1,1,3,4
"103201",2,2,2,2,1,2,3,1,2,3,2
"103202",2,2,3,2,1,3,3,2,1,4,3
"103203",2,1,2,2,1,2,2,1,2,3,3
"103204",1,2,2,1,1,1,4,1,2,4,2
"103205",3,2,3,2,2,3,2,1,1,4,4
"103206",1,2,3,2,2,2,2,1,2,4,4
